Da Nang | Q. Liên Chiểu | apartment | 7500000 | 63 | không ghi | https://www.nhatot.com/thue-can-ho-chung-cu-quan-lien-chieu-da-nang/134140024.htm | Tin ưu tiên
Da Nang | Q. Cẩm Lệ (P. Hòa Xuân mới) | apartment | 5500000 | 35 | Nội thất đầy đủ | https://www.nhatot.com/thue-can-ho-chung-cu-quan-cam-le-da-nang/134130026.htm | Tin ưu tiên
Da Nang | Q. Ngũ Hành Sơn | apartment | 7000000 | 35 | Nội thất đầy đủ | https://www.nhatot.com/thue-can-ho-chung-cu-quan-ngu-hanh-son-da-nang/133917935.htm | Tin ưu tiên
Da Nang | Q. Cẩm Lệ (P. Hòa Xuân mới) | apartment | 6000000 | 35 | Nội thất đầy đủ | https://www.nhatot.com/thue-can-ho-chung-cu-quan-cam-le-da-nang/134139642.htm | 6 giờ trước
Da Nang | Q. Cẩm Lệ (P. Hòa Xuân mới) | apartment | 5990000 | 40 | không ghi | https://www.nhatot.com/thue-can-ho-chung-cu-quan-cam-le-da-nang/134139582.htm | 6 giờ trước
Da Nang | Q. Ngũ Hành Sơn | apartment | 8000000 | 35 | không ghi | https://www.nhatot.com/thue-can-ho-chung-cu-quan-ngu-hanh-son-da-nang/134139574.htm | 6 giờ trước
Da Nang | Q. Sơn Trà (P. An Hải mới) | apartment | 24500000 | 40 | không ghi | https://www.nhatot.com/thue-can-ho-chung-cu-quan-son-tra-da-nang/134139511.htm | 6 giờ trước
Da Nang | Q. Sơn Trà (P. An Hải mới) | apartment | 10000000 | 35 | Nội thất đầy đủ | https://www.nhatot.com/thue-can-ho-chung-cu-quan-son-tra-da-nang/134139223.htm | 6 giờ trước
Da Nang | Q. Sơn Trà | apartment | 14000000 | 77 | Nội thất cao cấp | https://www.nhatot.com/thue-can-ho-chung-cu-quan-son-tra-da-nang/134139157.htm | 6 giờ trước
Da Nang | Q. Ngũ Hành Sơn | apartment | 6000000 | 32 | Nội thất đầy đủ | https://www.nhatot.com/thue-can-ho-chung-cu-quan-ngu-hanh-son-da-nang/134048057.htm | 7 giờ trước
Da Nang | Q. Thanh Khê | apartment | 8500000 | 35 | Nội thất đầy đủ | https://www.nhatot.com/thue-can-ho-chung-cu-quan-thanh-khe-da-nang/134057584.htm | 7 giờ trước
Da Nang | Q. Sơn Trà (P. An Hải mới) | apartment | 10000000 | 35 | Nội thất cao cấp | https://www.nhatot.com/thue-can-ho-chung-cu-quan-son-tra-da-nang/132402709.htm | 7 giờ trước
Da Nang | Q. Liên Chiểu (P. Hòa Khánh mới) | apartment | 8000000 | 63 | không ghi | https://www.nhatot.com/thue-can-ho-chung-cu-quan-lien-chieu-da-nang/134119344.htm | 7 giờ trước
Da Nang | Q. Ngũ Hành Sơn | apartment | 20000000 | 55 | Nội thất đầy đủ | https://www.nhatot.com/thue-can-ho-chung-cu-quan-ngu-hanh-son-da-nang/134138255.htm | 7 giờ trước
Da Nang | Q. Ngũ Hành Sơn | apartment | 23000000 | 68 | không ghi | https://www.nhatot.com/thue-can-ho-chung-cu-quan-ngu-hanh-son-da-nang/134097539.htm | 7 giờ trước
Da Nang | Q. Hải Châu | apartment | 7900000 | 35 | Nội thất đầy đủ | https://www.nhatot.com/thue-can-ho-chung-cu-quan-hai-chau-da-nang/134057362.htm | 7 giờ trước
Da Nang | Q. Hải Châu (P. Hòa Cường mới) | apartment | 18000000 | 100 | Nội thất cao cấp | https://www.nhatot.com/thue-can-ho-chung-cu-quan-hai-chau-da-nang/134070668.htm | 7 giờ trước
Da Nang | Q. Sơn Trà (P. An Hải mới) | apartment | 9000000 | 25 | Nội thất đầy đủ | https://www.nhatot.com/thue-can-ho-chung-cu-quan-son-tra-da-nang/134138086.htm | 7 giờ trước
Da Nang | Q. Hải Châu (P. Hòa Cường mới) | apartment | 21300000 | 76 | không ghi | https://www.nhatot.com/thue-can-ho-chung-cu-quan-hai-chau-da-nang/134076670.htm | 7 giờ trước
Da Nang | Q. Ngũ Hành Sơn | apartment | 20000000 | 55 | không ghi | https://www.nhatot.com/thue-can-ho-chung-cu-quan-ngu-hanh-son-da-nang/134137996.htm | 7 giờ trước
Da Nang | Q. Thanh Khê | apartment | 8000000 | 35 | không ghi | https://www.nhatot.com/thue-can-ho-chung-cu-quan-thanh-khe-da-nang/134137205.htm | 8 giờ trước
Da Nang | Q. Liên Chiểu (P. Hòa Khánh mới) | apartment | 14000000 | 40 | Nội thất đầy đủ | https://www.nhatot.com/thue-can-ho-chung-cu-quan-lien-chieu-da-nang/134136942.htm | 8 giờ trước
Da Nang | Q. Thanh Khê | apartment | 10990000 | 45 | không ghi | https://www.nhatot.com/thue-can-ho-chung-cu-quan-thanh-khe-da-nang/134136720.htm | 8 giờ trước
